Title: Regular Schedule,,
A Lunch,,
,Start,End
1,8:00:00 AM,9:07:00 AM
2,9:12:00 AM,10:24:00 AM
Lunch,10:24:00 AM,10:54:00 AM
3,10:59:00 AM,12:06:00 AM
4,12:11:00 AM,1:18:00 AM
5,1:23:00 PM,2:30:00 PM
B Lunch,,
,Start,End
1,8:00:00 AM,9:07:00 AM
2,9:12:00 AM,10:24:00 AM
3,10:29:00 AM,11:36:00 AM
Lunch,11:36:00 AM,12:06:00 AM
4,12:11:00 AM,1:18:00 AM
5,1:23:00 PM,2:30:00 PM
